Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
Chicago-Naperville-Elgin Metro,metro,Studio,234276.69421053195,234472.0338351437,234765.04327206133,235448.73195820244,236132.42064434357,236816.10933048467
Chico Metro,metro,Studio,322627.2259924658,324028.6801332471,322950.6384864923,318638.4718994728,312170.22201894363,306780.01378516934
Cincinnati Metro,metro,Studio,161031.88307587104,162267.01026827202,163165.28459001816,164288.12749220085,165074.11752372872,166196.9604259114
Clarksville Metro,metro,Studio,160465.81467045014,162002.8668624299,163303.44948641275,165076.97124638935,166968.7277903644,170042.83217432388
Cleveland-Elyria Metro,metro,Studio,85865.32268877192,86339.66341028432,87169.759672931,87644.1003944434,87999.8559355777,87525.51521406531
Colorado Springs Metro,metro,Studio,250948.70364178158,252058.55222049128,253612.34023068484,254833.17366726557,256830.90110894304,258606.65883487856
Columbia Metro,metro,Studio,145645.11695126523,145968.95735237535,145968.95735237535,146076.9041527454,146292.7977534855,146508.69135422556
Columbus Metro,metro,Studio,105760.55717514845,106388.99436724778,106703.21296329745,106912.69202733057,107017.43155934713,107750.608283463
Columbus Metro,metro,Studio,158916.9456057214,159140.94179543803,159476.93608001294,159700.93226972956,160036.92655430446,160372.92083887936
Dallas-Fort Worth-Arlington Metro,metro,Studio,293916.0732979814,294127.1354062727,294232.66646041843,294865.85278529255,295393.50805602095,296026.694380895
Davenport-Moline-Rock Island Metro,metro,Studio,111316.72914227917,111606.50239156846,111606.50239156846,111703.09347466489,111896.27564085774,112282.63997324344
Dayton Metro,metro,Studio,125662.39781880935,126686.71630273593,127141.96896225888,128280.10061106621,129076.79276523134,130783.99023844233
Denver-Aurora-Lakewood Metro,metro,Studio,347921.831864967,347617.41497936944,347820.35956976784,348733.61022656044,349849.80547375145,350864.5284257432
Des Moines-West Des Moines Metro,metro,Studio,190393.43032336186,190822.4845366545,191144.275196624,191466.0658565935,191680.59296323982,192109.64717653248
Detroit-Warren-Dearborn Metro,metro,Studio,116501.01013285562,117032.95996254834,117671.29975817958,118522.41948568792,119160.75928131916,120118.26897476602
Duluth Metro,metro,Studio,130563.67941653398,131562.0552291027,132227.63910414852,132893.2229791943,133780.66814592207,134668.11331264983
Durham-Chapel Hill Metro,metro,Studio,249134.62680906037,249574.29070381523,249794.12265119265,250013.95459857007,250453.61849332493,250893.2823880798
El Centro Metro,metro,Studio,238333.49277278583,240149.11533725832,241003.5259558336,240896.7246285117,242178.34055637463,243566.75781155948
Erie Metro,metro,Studio,110668.87396202856,111287.56795680839,111817.87709519108,111994.64680798532,111906.2619515882,111994.64680798532
Eugene Metro,metro,Studio,300358.7879981359,302408.18733879476,306620.841539038,311630.4843717597,318120.24895051273,325748.5687185208
Evansville Metro,metro,Studio,107780.68239228571,108548.50728828143,109206.6429134206,109316.33218427713,109426.02145513367,109645.39999684673
Fayetteville Metro,metro,Studio,156271.193477973,156380.09619094228,156597.90161688084,156815.7070428194,157142.41518172727,157686.92874657366
Fayetteville-Springdale-Rogers Metro,metro,Studio,194688.38868536463,195447.24825753045,196206.10782969627,197073.3759121715,197723.8269740279,198157.4610152655
Flagstaff Metro,metro,Studio,203448.18083521194,205237.8091522861,205764.17042201376,206185.2594377959,207132.70972330574,210817.23861139955
Flint Metro,metro,Studio,102327.36438240565,102758.16465307833,103188.96492375102,103081.26485608284,102435.06445007381,101896.56411173297
Fort Collins Metro,metro,Studio,343832.026574992,343229.30112574145,341797.8281837713,341345.7840968333,341044.42137220805,342249.87227070925
